Replica,Semilla,Funcion Objetivo,% Entregados con SLA,Violaciones SLA,Violaciones Cap. Vuelo,Violaciones Cap. Almacen,Sin Ruta,Tiempo Total (h),Hops Promedio,Tiempo Computo (s)
1,1,997386.53,99.85,27,0,0,0,211413.20,1.09,38224
2,2,997386.53,99.85,27,0,0,0,211413.20,1.09,31688
3,3,997386.53,99.85,27,0,0,0,211413.20,1.09,31057
4,4,997386.53,99.85,27,0,0,0,211413.20,1.09,31705
5,5,997386.53,99.85,27,0,0,0,211413.20,1.09,32916
6,6,997386.53,99.85,27,0,0,0,211413.20,1.09,35280
7,7,997386.53,99.85,27,0,0,0,211413.20,1.09,35603
8,8,997386.53,99.85,27,0,0,0,211413.20,1.09,49372
9,9,997386.53,99.85,27,0,0,0,211413.20,1.09,64746
10,10,997386.53,99.85,27,0,0,0,211413.20,1.09,47801
11,11,997386.53,99.85,27,0,0,0,211413.20,1.09,47271
12,12,997386.53,99.85,27,0,0,0,211413.20,1.09,45262
13,13,997386.53,99.85,27,0,0,0,211413.20,1.09,46588
14,14,997386.53,99.85,27,0,0,0,211413.20,1.09,52260
15,15,997386.53,99.85,27,0,0,0,211413.20,1.09,59774
16,16,997386.53,99.85,27,0,0,0,211413.20,1.09,57156
17,17,997386.53,99.85,27,0,0,0,211413.20,1.09,56468
18,18,997386.53,99.85,27,0,0,0,211413.20,1.09,58589
19,19,997386.53,99.85,27,0,0,0,211413.20,1.09,56320
20,20,997386.53,99.85,27,0,0,0,211413.20,1.09,56351
21,21,997386.53,99.85,27,0,0,0,211413.20,1.09,55833
22,22,997386.53,99.85,27,0,0,0,211413.20,1.09,55396
23,23,997386.53,99.85,27,0,0,0,211413.20,1.09,55248
24,24,997386.53,99.85,27,0,0,0,211413.20,1.09,56239
25,25,997386.53,99.85,27,0,0,0,211413.20,1.09,54499
26,26,997386.53,99.85,27,0,0,0,211413.20,1.09,56383
27,27,997386.53,99.85,27,0,0,0,211413.20,1.09,55160
28,28,997386.53,99.85,27,0,0,0,211413.20,1.09,55644
29,29,997386.53,99.85,27,0,0,0,211413.20,1.09,56894
30,30,997386.53,99.85,27,0,0,0,211413.20,1.09,55536
